ticker    ,sector                ,region                     ,rating_score,upside_score,consensus_strength_score,conviction_score  ,pt_momentum_score ,analyst_consensus_score,consensus_grade
ORLY      ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,44.54545454545455       ,78.57142857142857 ,49.98275862068965 ,53.2                   ,C
WTE       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,100.0                   ,100.0             ,50.0              ,67.5                   ,B
RCL       ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,42.77198211624441       ,74.07407407407408 ,50.010394356597644,52.2                   ,C
DELL      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,47.59036144578314       ,69.23076923076923 ,49.98668896042542 ,52.4                   ,C
CMI       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,62.54612546125461       ,47.826086956521735,50.10057929538361 ,52.2                   ,C
GM        ,Consumer Discretionary,United States and Canada   ,50.0        ,50.0        ,27.058823529411768      ,61.53846153846153 ,50.19323671497584 ,47.2                   ,D
REGN      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,48.0219111381619        ,69.23076923076923 ,50.13776001641082 ,52.5                   ,C
TDG       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,62.098765432098766      ,77.27272727272727 ,50.034025880144064,56.5                   ,C
TBLA      ,Communication Services,United States and Canada   ,50.0        ,50.0        ,55.55555555555556       ,71.42857142857143 ,50.16666666666667 ,54.3                   ,C
ECL       ,Materials             ,United States and Canada   ,50.0        ,50.0        ,72.66666666666667       ,55.55555555555556 ,50.02540102827764 ,55.4                   ,C
CTAS      ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,61.574074074074076      ,27.272727272727273,49.99619792035085 ,48.9                   ,D
PVLA      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,58.85416666666667       ,100.0             ,50.81055215827338 ,59.4                   ,C
GLW       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,50.0                    ,71.42857142857143 ,50.039158075914415,53.2                   ,C
SE        ,Consumer Discretionary,Asia / Pacific             ,50.0        ,50.0        ,55.32994923857868       ,93.93939393939394 ,49.99158224119044 ,57.7                   ,C
MNST      ,Consumer Staples      ,United States and Canada   ,50.0        ,50.0        ,62.5                    ,50.0              ,50.10473714862764 ,52.5                   ,C
ITW       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,68.3206106870229        ,22.222222222222218,49.99280832439328 ,49.5                   ,D
WMB       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,56.52173913043478       ,69.56521739130434 ,50.02110059897045 ,54.2                   ,C
PHAT      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,29.166666666666657      ,81.81818181818183 ,50.0              ,50.6                   ,C
WDC       ,Information Technology,United States and Canada   ,50.0        ,50.0        ,39.947780678851174      ,77.77777777777779 ,50.136852471488325,52.2                   ,C
FDX       ,Industrials           ,United States and Canada   ,50.0        ,50.0        ,50.558213716108455      ,53.333333333333336,50.212362543919234,50.6                   ,C
NUTX      ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,65.21739130434783       ,100.0             ,50.0              ,60.5                   ,C
CI        ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,66.76923076923077       ,84.0              ,50.00505425121069 ,58.5                   ,C
MDLZ      ,Consumer Staples      ,United States and Canada   ,50.0        ,50.0        ,66.66666666666667       ,69.23076923076923 ,49.96049954421149 ,56.2                   ,C
MLTX      ,Health Care           ,Europe                     ,50.0        ,50.0        ,0.0                     ,47.05882352941177 ,50.55216298923126 ,39.6                   ,D
SNOW      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,0.0                     ,80.3921568627451  ,50.00414340482544 ,44.6                   ,D
WBD       ,Communication Services,United States and Canada   ,50.0        ,50.0        ,46.42857142857143       ,38.095238095238095,50.14371116897631 ,47.5                   ,D
WST       ,Health Care           ,United States and Canada   ,50.0        ,50.0        ,70.0                    ,81.25             ,49.99742033002438 ,58.7                   ,C
MRVL      ,Information Technology,United States and Canada   ,50.0        ,50.0        ,44.99999999999999       ,70.45454545454545 ,50.01880429606172 ,52.1                   ,C
EPD       ,Energy                ,United States and Canada   ,50.0        ,50.0        ,72.22222222222223       ,50.00000000000001 ,49.99326743559761 ,54.4                   ,C
