ticker    ,sector                ,region                     ,current_ratio_score,quick_ratio_score,cash_ratio_score,debt_equity_score  ,debt_assets_score   ,interest_coverage_score,leverage_liquidity_score,leverage_grade
VRT       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,56.930808309027924 ,56.94908294552422   ,0.0                    ,42.8                    ,D
CSX       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,48.86863356520349  ,43.92187353849032   ,0.0                    ,38.6                    ,D
MSI       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,43.89345666324084   ,0.0                    ,28.8                    ,F
CP        ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,84.32604225418658  ,67.2499075883105    ,0.0                    ,50.3                    ,C
RSG       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,62.13728412378363  ,50.01465958891427   ,0.0                    ,42.4                    ,D
NSC       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,58.03159513490843  ,48.45703035575294   ,0.0                    ,41.3                    ,D
LHX       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,77.90149309634472  ,61.36996738172902   ,0.0                    ,47.9                    ,D
NET       ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,53.38016950232587  ,44.594854535981284  ,100.0                  ,59.6                    ,C
AEP       ,Utilities             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,43.183095494841176 ,44.21942606569783   ,0.0                    ,37.5                    ,D
PCAR      ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,69.51830421148233  ,53.91062417518637   ,0.0                    ,44.7                    ,D
ROST      ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,65.61847869953054  ,52.34565420557613   ,0.0                    ,43.6                    ,D
KMI       ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,66.11018713193377  ,43.28462195583066   ,0.0                    ,41.9                    ,D
CNR       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,66.1599591319361   ,53.188793440947826  ,0.0                    ,43.9                    ,D
WPM       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,99.97626059893085  ,99.91295663253624   ,0.0                    ,60.0                    ,C
RBLX      ,Communication Services,United States and Canada   ,50.0               ,50.0             ,50.0            ,0.0                ,68.54912891986062   ,100.0                  ,53.7                    ,C
SNDK      ,Information Technology,United States and Canada   ,50.0               ,50.0             ,50.0            ,92.52025462962963  ,80.09241432422026   ,0.0                    ,54.5                    ,C
GALD      ,Health Care           ,Europe                     ,50.0               ,50.0             ,50.0            ,88.19426615318785  ,72.66584766584768   ,0.0                    ,52.2                    ,C
SRE       ,Utilities             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,67.08831727885396  ,51.49758202901565   ,0.0                    ,43.7                    ,D
SU        ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,88.71441073628452  ,79.01769458470736   ,0.0                    ,53.5                    ,C
NXPI      ,Information Technology,Europe                     ,50.0               ,50.0             ,50.0            ,61.01843108453118  ,42.86446586015994   ,0.0                    ,40.8                    ,D
ET        ,Energy                ,United States and Canada   ,50.0               ,50.0             ,50.0            ,56.5275444717233   ,39.62553836337535   ,0.0                    ,39.2                    ,D
APD       ,Materials             ,United States and Canada   ,50.0               ,50.0             ,50.0            ,64.59075416815563  ,43.8914867448459    ,28.969696969696972     ,47.5                    ,D
BDX       ,Health Care           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,73.7166863594591   ,54.76728422955264   ,0.0                    ,45.7                    ,D
URI       ,Industrials           ,United States and Canada   ,50.0               ,50.0             ,50.0            ,42.82455733395191  ,34.35979831694068   ,0.0                    ,35.4                    ,D
AZO       ,Consumer Discretionary,United States and Canada   ,50.0               ,50.0             ,50.0            ,100.0              ,18.77414064970252   ,0.0                    ,43.8                    ,D
