ticker    ,sector                ,region                     ,upside_score       ,spread_score        ,coverage_score,rating_score,price_target_score,price_target_grade
PCAR      ,Industrials           ,United States and Canada   ,28.505731341097203 ,58.80026367831246   ,56.666668     ,65.5        ,49.1              ,D
ROST      ,Consumer Discretionary,United States and Canada   ,33.52250410110671  ,57.37159492618008   ,53.333336     ,80.49999    ,52.8              ,C
KMI       ,Energy                ,United States and Canada   ,45.81147671276427  ,53.50500715307582   ,66.66667      ,76.25001    ,58.0              ,C
CNR       ,Industrials           ,United States and Canada   ,45.79424341055588  ,61.22917863296955   ,66.66667      ,71.75       ,59.0              ,C
WPM       ,Materials             ,United States and Canada   ,39.63600311592664  ,45.347992351816444  ,23.333334     ,89.0        ,47.7              ,D
RBLX      ,Communication Services,United States and Canada   ,94.29295243914856  ,0.0                 ,100.0         ,75.75001    ,68.2              ,B
SNDK      ,Information Technology,United States and Canada   ,10.803260104551143 ,0.0                 ,66.66667      ,79.49999    ,33.0              ,F
GALD      ,Health Care           ,Europe                     ,38.64417906278372  ,43.223758642363286  ,50.0          ,76.75001    ,49.7              ,D
SRE       ,Utilities             ,United States and Canada   ,42.677591692178396 ,69.74608319827121   ,50.0          ,79.49999    ,58.3              ,C
SU        ,Energy                ,United States and Canada   ,30.182157269409483 ,73.95456518593546   ,66.66667      ,72.5        ,56.9              ,C
NXPI      ,Information Technology,Europe                     ,46.1743025974817   ,51.752351229387216  ,100.0         ,87.0        ,66.5              ,B
ET        ,Energy                ,United States and Canada   ,59.14185078450206  ,59.654178674351584  ,70.0          ,86.24999    ,66.9              ,B
APD       ,Materials             ,United States and Canada   ,43.0809421165643   ,64.1161738870407    ,70.0          ,72.75       ,59.7              ,C
BDX       ,Health Care           ,United States and Canada   ,33.09551016904596  ,57.993336874124864  ,40.0          ,64.25       ,46.9              ,D
URI       ,Industrials           ,United States and Canada   ,44.42293961279241  ,0.13460118970083368 ,70.0          ,79.25       ,45.4              ,D
AZO       ,Consumer Discretionary,United States and Canada   ,55.13754732921574  ,48.892964832681244  ,76.666664     ,84.75       ,63.8              ,C
MPLX      ,Energy                ,United States and Canada   ,34.61136640351911  ,80.55850123718629   ,43.333332     ,69.75       ,54.9              ,C
EOG       ,Energy                ,United States and Canada   ,63.9500780689539   ,55.37409798708697   ,100.0         ,72.0        ,70.6              ,B
IDXX      ,Health Care           ,United States and Canada   ,41.19717380128077  ,46.88063519577281   ,43.333332     ,70.0        ,48.8              ,D
VST       ,Utilities             ,United States and Canada   ,75.75030012004801  ,0.0                 ,66.66667      ,85.74999    ,57.0              ,C
ADSK      ,Information Technology,United States and Canada   ,75.10758151730714  ,30.369980051940225  ,100.0         ,87.5        ,71.4              ,B
FTNT      ,Information Technology,United States and Canada   ,50.83031160637953  ,33.669408331122305  ,100.0         ,56.5        ,57.5              ,C
VLO       ,Energy                ,United States and Canada   ,36.68859091294499  ,58.57407609288128   ,60.000004     ,71.25       ,53.7              ,C
PSX       ,Energy                ,United States and Canada   ,42.7104425802719   ,73.2426959791727    ,66.66667      ,66.75       ,59.9              ,C
TRI       ,Industrials           ,United States and Canada   ,93.55634143042109  ,63.946663574700004  ,23.333334     ,86.0        ,70.6              ,B
ZTS       ,Health Care           ,United States and Canada   ,63.25266301198912  ,43.84275972723627   ,53.333336     ,73.75       ,58.5              ,C
TRP       ,Energy                ,United States and Canada   ,37.033401678081695 ,62.04685250621647   ,73.333336     ,70.75       ,57.3              ,C
F         ,Consumer Discretionary,United States and Canada   ,33.79330065359477  ,63.23529411764706   ,63.333332     ,53.500004   ,51.0              ,C
MSTR      ,Information Technology,United States and Canada   ,100.0              ,0.0                 ,43.333332     ,92.75       ,62.2              ,C
CMG       ,Consumer Discretionary,United States and Canada   ,45.54804804804804  ,49.949949949949946  ,100.0         ,82.50001    ,64.9              ,C
L         ,Consumer Staples      ,United States and Canada   ,34.401832321295416 ,53.65931607542345   ,36.666668     ,77.25       ,48.2              ,D
MPC       ,Energy                ,United States and Canada   ,45.83366547097118  ,67.54540795991574   ,60.000004     ,71.0        ,59.1              ,C
D         ,Utilities             ,United States and Canada   ,37.981896504716715 ,73.82627187960085   ,53.333336     ,55.0        ,53.4              ,C
RKLB      ,Industrials           ,United States and Canada   ,11.214030229606552 ,39.771547248182756  ,40.0          ,79.99999    ,37.9              ,D
BIDU      ,Communication Services,Asia / Pacific             ,45.0293883798866   ,0.0                 ,100.0         ,84.5        ,52.7              ,C
BKR       ,Energy                ,United States and Canada   ,36.728717122920024 ,59.42028985507246   ,70.0          ,78.25       ,57.4              ,C
EA        ,Communication Services,United States and Canada   ,32.30403916768666  ,55.93635250917992   ,63.333332     ,56.5        ,49.3              ,D
GWW       ,Industrials           ,United States and Canada   ,32.92578453144363  ,71.64832697058164   ,50.0          ,53.500004   ,50.1              ,C
CCO       ,Energy                ,United States and Canada   ,26.436025066162056 ,66.06195236332223   ,56.666668     ,82.25       ,53.6              ,C
AXON      ,Industrials           ,United States and Canada   ,64.59621686965879  ,50.47481290484874   ,56.666668     ,86.74999    ,63.9              ,C
CAH       ,Health Care           ,United States and Canada   ,40.90808294762167  ,60.93198399623441   ,50.0          ,83.75       ,56.3              ,C
CRWV      ,Information Technology,United States and Canada   ,56.45592545029471  ,0.0                 ,90.0          ,73.25       ,52.4              ,C
NUVL      ,Health Care           ,United States and Canada   ,73.23987040944647  ,62.593516209476306  ,56.666668     ,94.50001    ,71.5              ,B
NXFIL     ,Industrials           ,Europe                     ,61.11111111111111  ,40.74074074074075   ,13.333334     ,50.0        ,44.2              ,D
TGT       ,Consumer Staples      ,United States and Canada   ,22.009944883776665 ,30.805176132278934  ,100.0         ,58.0        ,47.0              ,D
LLYVK     ,Consumer Discretionary,United States and Canada   ,62.43386243386243  ,100.0               ,3.3333335     ,100.0       ,67.5              ,B
FAST      ,Industrials           ,United States and Canada   ,33.99380175786211  ,51.98902606310014   ,43.333332     ,52.749996   ,44.1              ,D
AU        ,Materials             ,United States and Canada   ,32.17767904226553  ,35.37311925679087   ,23.333334     ,75.0        ,39.8              ,D
AME       ,Industrials           ,United States and Canada   ,39.96929180513692  ,76.81428240204035   ,56.666668     ,83.25       ,61.2              ,C
MPWR      ,Information Technology,United States and Canada   ,51.04442315075607  ,55.96078089762575   ,46.666668     ,90.75       ,59.3              ,C
WDAY      ,Information Technology,United States and Canada   ,84.57222876306683  ,48.0894787541475    ,100.0         ,80.25       ,77.7              ,B
ATD       ,Consumer Staples      ,United States and Canada   ,50.49036434808794  ,85.32533875338753   ,53.333336     ,80.99999    ,65.9              ,B
EW        ,Health Care           ,United States and Canada   ,49.59309754330503  ,71.54712507409602   ,93.333336     ,78.0        ,69.5              ,B
FERG      ,Industrials           ,United States and Canada   ,38.8908969210174   ,60.24096385542169   ,73.333336     ,79.0        ,59.1              ,C
IMO       ,Energy                ,United States and Canada   ,14.331897957852146 ,64.76805637110982   ,56.666668     ,30.5        ,38.6              ,D
ALNY      ,Health Care           ,United States and Canada   ,74.15982408773347  ,24.847607648843486  ,83.33333      ,79.49999    ,64.7              ,C
