ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
LBRT      ,Energy                ,United States and Canada   ,22.502197480222684,0.0                 ,50.0            ,91.01153688721341  ,20.0        ,32.3                         ,F
UPS       ,Industrials           ,United States and Canada   ,57.9632226897304  ,16.29657089898054   ,50.0            ,48.92990105317645  ,68.0        ,46.1                         ,D
MMM       ,Industrials           ,United States and Canada   ,81.91662785281788 ,20.4507405022537    ,50.0            ,0.0                ,8.0         ,36.8                         ,D
NOC       ,Industrials           ,United States and Canada   ,82.87225386493084 ,29.04196357878068   ,50.0            ,59.89535644211903  ,92.0        ,60.8                         ,C
HWM       ,Industrials           ,United States and Canada   ,96.20567375886525 ,100.0               ,50.0            ,74.59376372419851  ,20.0        ,73.2                         ,B
BRZE      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,93.86062840091276  ,0.0         ,61.6                         ,C
CDNS      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,81.26611006266431  ,0.0         ,59.7                         ,C
SHW       ,Materials             ,United States and Canada   ,86.37973400173202 ,62.71387955544069   ,50.0            ,0.0                ,100.0       ,62.3                         ,C
OVS       ,Consumer Discretionary,Europe                     ,50.0              ,50.0                ,50.0            ,51.91053222740625  ,8.0         ,44.0                         ,D
WM        ,Industrials           ,United States and Canada   ,77.84960871044572 ,36.89708141321045   ,50.0            ,0.0                ,92.0        ,52.5                         ,C
TT        ,Industrials           ,Europe                     ,85.85121107266436 ,61.93934947419907   ,50.0            ,76.02478996647477  ,24.0        ,62.0                         ,C
MAR       ,Consumer Discretionary,United States and Canada   ,86.91913648005854 ,43.41258741258741   ,50.0            ,100.0              ,16.0        ,60.0                         ,C
CRH       ,Materials             ,Europe                     ,86.17754425709207 ,52.83975659229208   ,50.0            ,77.29540481400437  ,8.0         ,57.5                         ,C
ENGCONB   ,Industrials           ,Europe                     ,59.24918389553863 ,22.68357810413885   ,50.0            ,94.48810963321242  ,8.0         ,45.9                         ,D
FCX       ,Materials             ,United States and Canada   ,81.35775862068965 ,37.57225433526011   ,50.0            ,88.72055042046007  ,4.0         ,53.6                         ,C
ABNB      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,90.90981138056745  ,0.0         ,61.1                         ,C
DVA       ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,0.0                ,0.0         ,47.5                         ,D
ABX       ,Materials             ,United States and Canada   ,87.9207297892419  ,71.61458333333333   ,50.0            ,94.73177772432042  ,4.0         ,64.7                         ,C
ELV       ,Health Care           ,United States and Canada   ,89.03351071479936 ,49.403278688524594  ,50.0            ,74.21667551779076  ,56.0        ,64.1                         ,C
KURN      ,Health Care           ,Europe                     ,50.0              ,50.0                ,50.0            ,98.9805375347544   ,0.0         ,49.8                         ,D
