ticker     ,sector                ,region                     ,payout_score,fcf_coverage_score,div_growth_score,balance_sheet_score,dividend_sustainability_score,sustainability_grade
GVR        ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
TFBANK     ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
COREA      ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,10                 ,10                           ,F
STG        ,Consumer Staples      ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
KAR        ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
HAS        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
NORBT      ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
FSKRS      ,Consumer Discretionary,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BAR        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PHARM      ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
LKPG       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
NA9        ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PEP        ,Utilities             ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
OET        ,Energy                ,Europe                     ,0           ,0                 ,0               ,0                  ,0                            ,
BYIT       ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
VLTSA      ,Utilities             ,Europe                     ,0           ,5                 ,0               ,10                 ,15                           ,F
VETO       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
MAU        ,Energy                ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
SLPB       ,Real Estate           ,Europe                     ,0           ,0                 ,0               ,20                 ,20                           ,F
CTT        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ZIG        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
ZEHN       ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
GAMA       ,Communication Services,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
JUP        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
NANO       ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BIOGB      ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
BWE        ,Energy                ,Latin America and Caribbean,0           ,0                 ,0               ,0                  ,0                            ,
EVT        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
PTEC       ,Consumer Discretionary,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
CHG        ,Financials            ,Europe                     ,0           ,5                 ,0               ,25                 ,30                           ,F
BITTI      ,Information Technology,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
FQT        ,Industrials           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
EUZ        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
CORD       ,Financials            ,United States and Canada   ,0           ,5                 ,0               ,25                 ,30                           ,F
GXI        ,Health Care           ,Europe                     ,0           ,0                 ,0               ,25                 ,25                           ,F
