"Date"   ;"D0";"D1"    ;"Value"
"2019-08";"M1";"SEK100";"10.0784"
"2019-08";"M1";"TRY100";"16.90319"
"2019-08";"M1";"USD1"  ;"0.9886"
"2019-08";"M1";"CAD1"  ;"0.74317"
"2019-08";"M1";"ARS1"  ;"0.0171"
"2019-08";"M1";"BRL100";"23.7063"
"2019-08";"M1";"MXN100";"4.91462"
"2019-08";"M1";"ZAR1"  ;"0.06489"
"2019-08";"M1";"JPY100";"0.92905"
"2019-08";"M1";"AUD1"  ;"0.66424"
"2019-08";"M1";"CNY100";"13.8318"
"2019-08";"M1";"HKD100";"12.60471"
"2019-08";"M1";"KRW100";"0.0816"
"2019-08";"M1";"MYR100";"23.45099"
"2019-08";"M1";"NZD1"  ;"0.62287"
"2019-08";"M1";"SGD1"  ;"0.71209"
"2019-08";"M1";"THB100";"3.23114"
"2019-08";"M1";"XDR1"  ;"1.3516"
"2019-09";"M0";"EUR1"  ;"1.09055"
"2019-09";"M0";"GBP1"  ;"1.22218"
"2019-09";"M0";"DKK100";"14.61206"
"2019-09";"M0";"NOK100";"10.98585"
"2019-09";"M0";"CZK100";"4.21641"
"2019-09";"M0";"HUF100";"0.32808"
"2019-09";"M0";"PLN100";"25.04754"
"2019-09";"M0";"RUB1"  ;"0.01525"
"2019-09";"M0";"SEK100";"10.19374"
"2019-09";"M0";"TRY100";"17.33105"
"2019-09";"M0";"USD1"  ;"0.9905"
"2019-09";"M0";"CAD1"  ;"0.74765"
"2019-09";"M0";"ARS1"  ;"0.01749"
"2019-09";"M0";"BRL100";"24.03376"
"2019-09";"M0";"MXN100";"5.05672"
"2019-09";"M0";"ZAR1"  ;"0.06672"
"2019-09";"M0";"JPY100";"0.9221"
"2019-09";"M0";"AUD1"  ;"0.67432"
"2019-09";"M0";"CNY100";"13.91616"
"2019-09";"M0";"HKD100";"12.64053"
"2019-09";"M0";"KRW100";"0.08286"
"2019-09";"M0";"MYR100";"23.66584"
"2019-09";"M0";"NZD1"  ;"0.62836"
"2019-09";"M0";"SGD1"  ;"0.71773"
"2019-09";"M0";"THB100";"3.2406"
"2019-09";"M0";"XDR1"  ;"1.35562"
"2019-09";"M0";"USD3M" ;"0.9827"
"2019-09";"M0";"USD6M" ;"0.9749"
"2019-09";"M1";"EUR1"  ;"1.08585"
"2019-09";"M1";"GBP1"  ;"1.22398"
"2019-09";"M1";"DKK100";"14.54454"
"2019-09";"M1";"NOK100";"10.93957"
"2019-09";"M1";"CZK100";"4.20406"
"2019-09";"M1";"HUF100";"0.32445"
"2019-09";"M1";"PLN100";"24.82811"
"2019-09";"M1";"RUB1"  ;"0.01534"
"2019-09";"M1";"SEK100";"10.12077"
"2019-09";"M1";"TRY100";"17.58513"
"2019-09";"M1";"USD1"  ;"0.99305"
"2019-09";"M1";"CAD1"  ;"0.75001"
"2019-09";"M1";"ARS1"  ;"0.0173"
"2019-09";"M1";"BRL100";"23.88403"
"2019-09";"M1";"MXN100";"5.04102"
"2019-09";"M1";"ZAR1"  ;"0.06539"
"2019-09";"M1";"JPY100";"0.92043"
"2019-09";"M1";"AUD1"  ;"0.67046"
"2019-09";"M1";"CNY100";"13.90573"
"2019-09";"M1";"HKD100";"12.66548"
"2019-09";"M1";"KRW100";"0.08303"
"2019-09";"M1";"MYR100";"23.69991"
"2019-09";"M1";"NZD1"  ;"0.62185"
"2019-09";"M1";"SGD1"  ;"0.71814"
"2019-09";"M1";"THB100";"3.24738"
"2019-09";"M1";"XDR1"  ;"1.3585"
"2019-10";"M0";"EUR1"  ;"1.0979"
"2019-10";"M0";"GBP1"  ;"1.25433"
"2019-10";"M0";"DKK100";"14.69907"
"2019-10";"M0";"NOK100";"10.85341"
"2019-10";"M0";"CZK100";"4.27289"
"2019-10";"M0";"HUF100";"0.3311"
"2019-10";"M0";"PLN100";"25.51566"
"2019-10";"M0";"RUB1"  ;"0.01544"
"2019-10";"M0";"SEK100";"10.16586"
"2019-10";"M0";"TRY100";"17.15"
"2019-10";"M0";"USD1"  ;"0.99361"
"2019-10";"M0";"CAD1"  ;"0.75311"
"2019-10";"M0";"ARS1"  ;"0.01703"
"2019-10";"M0";"BRL100";"24.28246"
"2019-10";"M0";"MXN100";"5.13768"
"2019-10";"M0";"ZAR1"  ;"0.06663"
"2019-10";"M0";"JPY100";"0.91897"
"2019-10";"M0";"AUD1"  ;"0.67492"
"2019-10";"M0";"CNY100";"14.00003"
"2019-10";"M0";"HKD100";"12.67011"
"2019-10";"M0";"KRW100";"0.08393"
"2019-10";"M0";"MYR100";"23.72637"
"2019-10";"M0";"NZD1"  ;"0.62917"
"2019-10";"M0";"SGD1"  ;"0.72468"
"2019-10";"M0";"THB100";"3.27296"
"2019-10";"M0";"XDR1"  ;"1.36302"
"2019-10";"M0";"USD3M" ;"0.986"
"2019-10";"M0";"USD6M" ;"0.9795"
"2019-10";"M1";"EUR1"  ;"1.10187"
"2019-10";"M1";"GBP1"  ;"1.27708"
"2019-10";"M1";"DKK100";"14.74947"
"2019-10";"M1";"NOK100";"10.73211"
"2019-10";"M1";"CZK100";"4.3212"
