ticker,name,region,country,exchange,sector,industry,last_price,pt_median,pt_spread,expected_upside_pct,upside_std,var_5_pct,prob_positive_upside,risk_reward_ratio,price_target_mc
ORNBV,Orion Oyj,Europe,FI,HLSE,Health Care,Pharmaceuticals,68.25,76.5,24.0,2.7931456414821163,7.889222898182755,-11.952517938783286,65.85,0.3540457251024691,70.15632190031155
PUIG,Puig Brands S.A.,Europe,ES,BME,Consumer Staples,Personal Care Products,16.42,19.7,11.600000000000001,24.456071460265733,14.48707498713353,1.550189833443106,96.38,1.688130383944724,20.435686933775635
IDR,Indra Sistemas S.A.,Europe,ES,BME,Information Technology,IT Services,52.35,56.5,42.0,4.710609263633225,16.42216217120042,-23.624839255198108,61.998,0.28684464411721805,54.816003949511995
HLE,HELLA GmbH & Co. KGaA,Europe,DE,XTRA,Consumer Discretionary,Automobile Components,82.5,65.0,10.0,-21.206156963270317,2.479108315441799,-25.34781214969303,0.0,-8.553945316217938,65.00492050530198
SNG,SNGN Romgaz SA,Europe,RO,BVB,Energy,Oil Gas and Consumable Fuels,11.9,7.52,1.049999999999999,-35.9280187963246,1.8252542037614463,-38.73015370890497,0.0,-19.68384388447641,7.6245657632373725
RED,Redeia Corporación S.A.,Europe,ES,BME,Utilities,Electric Utilities,16.14,16.6,5.599999999999998,2.851624532329135,7.086968225019327,-9.06868205299526,65.154,0.4023758032753644,16.600252199517925
MOVE,Medacta Group SA,Europe,CH,SWX,Health Care,Health Care Equipment and Supplies,149.8,179.9326,58.189700000000016,18.423147109927978,7.954778166271704,4.6442232055750425,99.636,2.315985024955467,177.39787437067213
BZU,Buzzi S.p.A.,Europe,IT,BIT,Materials,Construction Materials,49.02,55.0,19.6,12.52584575616088,8.17313718402953,-1.0584066443984805,93.11399999999999,1.5325627692432018,55.16016958967006
BARN,Barry Callebaut AG,Europe,CH,SWX,Consumer Staples,Food Products,1440.0,1317.0,930.0,-1.6310103948000398,13.398259778028404,-22.110044523683893,42.458,-0.12173300277956307,1416.5134503148795
AYV,Ayvens,Europe,FR,ENXTPA,Industrials,Ground Transportation,11.04,12.5,3.5,14.73590616336165,6.509605544224935,4.190986169792451,99.976,2.263717219614753,12.666844040435125
SECUB,Securitas AB (publ),Europe,SE,OM,Industrials,Commercial Services and Supplies,155.9,156.0,58.0,-2.050561348355596,7.632702856725749,-15.37987401730772,41.92,-0.26865468063501147,152.70317485791364
SFSN,SFS Group AG,Europe,CH,SWX,Industrials,Machinery,122.0,130.0,25.0,7.937255727479021,4.1924361963457715,1.320182652821882,98.49799999999999,1.893232325013634,131.68345198752442
TRELB,Trelleborg AB (publ),Europe,SE,OM,Industrials,Machinery,396.9,410.0,169.0,4.003125543499094,8.66309439715041,-10.320002397215907,66.732,0.4620895675355749,412.78840528214783
SECTB,Sectra AB (publ),Europe,SE,OM,Health Care,Health Care Technology,179.7,245.0,90.0,36.44006642775137,10.258834362111807,19.198646557889738,100.0,3.552066944596821,245.1827993706692
SGE,The Sage Group plc,Europe,GB,LSE,Information Technology,Software,7.836,13.0,6.5,63.71781607768671,16.89278182985357,34.72514696338189,100.0,3.771895991995952,12.828928067847531
IMI,IMI plc,Europe,GB,LSE,Industrials,Machinery,28.8,29.125,7.0,-0.2966185672130428,4.987433507427456,-9.002864257666008,50.108,-0.059473187315942824,28.714573852642644
AVOL,Avolta AG,Europe,CH,SWX,Consumer Discretionary,Specialty Retail,51.4,51.0,24.0,1.8106067692814791,9.616005758869248,-13.545231881914546,54.984,0.1882909406134122,52.33065187941068
SYENS,Syensqo SA/NV,Europe,BE,ENXTBR,Materials,Chemicals,77.64,81.0,23.0,4.7346924618956105,6.029449508755311,-5.286447291843528,76.768,0.7852611511250579,81.31601522741576
BAB,Babcock International Group PLC,Europe,GB,LSE,Industrials,Aerospace and Defense,14.02,15.82,4.199999999999999,8.48523910949514,6.3085216755256415,-3.010837513259601,88.292,1.3450439811301955,15.209630523151219
CPR,Davide Campari-Milano N.V.,Europe,IT,BIT,Consumer Staples,Beverages,6.646,6.4,5.500000000000001,12.963804236311328,17.89461487663688,-11.923222262817076,71.494,0.7244528214595334,7.507574429545252
INW,Infrastrutture Wireless Italiane S.p.A.,Europe,IT,BIT,Communication Services,Diversified Telecommunication Services,8.795,10.5,4.5,17.448784172532076,10.456285270019919,-0.5428396015646111,94.368,1.6687364319105686,10.329620567974196
VAR,Vår Energi ASA,Europe,NO,OB,Energy,Oil Gas and Consumable Fuels,34.67,39.1151,20.2646,5.258110899865236,12.212872113509285,-16.938785138752028,67.646,0.4305384393609567,36.49298704898328
G1A,GEA Group Aktiengesellschaft,Europe,DE,XTRA,Industrials,Machinery,65.25,63.2,21.0,-1.8679178961829184,6.579165325927685,-12.530203877370035,38.238,-0.2839141142755119,64.03118357274064
GRE,Grenergy Renovables S.A.,Europe,ES,BME,Utilities,Independent Power and Renewable Electricity Producers,106.6,100.0,58.0,-5.603912055132643,11.108845004908115,-24.01887987787684,31.330000000000002,-0.5044549683298957,100.6262297492286
