ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,dividend_cut_probability,fcf_dividend_coverage,payout_ratio          ,dividend_streak,dividend_consistency,yield_vs_5y_avg      ,sustainable_flag,safety_score      ,risk_category
RI        ,Pernod Ricard SA                                                ,Consumer Staples      ,Beverages                                            ,FR     ,ENXTPA  ,0.7499999999999999      ,0.9333880009331194   ,                      ,1              ,0.1                 ,1.8758389261744965   ,0               ,25.00000000000001 ,At Risk
NICE      ,NICE Ltd.                                                       ,Information Technology,Software                                             ,IL     ,TASE    ,0.37                    ,                     ,0.0                   ,1              ,0.1                 ,                     ,0               ,63.0              ,Borderline
BAB       ,Babcock International Group PLC                                 ,Industrials           ,Aerospace and Defense                                ,GB     ,LSE     ,0.49                    ,6.914869721473495    ,                      ,1              ,0.1                 ,0.5882352941176471   ,0               ,51.0              ,Borderline
KRX       ,Kingspan Group plc                                              ,Industrials           ,Building Products                                    ,IE     ,ISE     ,0.33999999999999997     ,4.044196542621136    ,                      ,1              ,0.1                 ,1.046875             ,0               ,66.0              ,Monitor
SNTS      ,Sonatel SA                                                      ,Communication Services,Diversified Telecommunication Services               ,SN     ,BRVM    ,0.3                     ,                     ,                      ,5              ,0.5                 ,                     ,0               ,70.0              ,Monitor
UMI       ,Umicore SA                                                      ,Materials             ,Chemicals                                            ,BE     ,ENXTBR  ,0.72                    ,0.8132815259625574   ,                      ,2              ,0.2                 ,0.7282913165266106   ,0               ,28.000000000000004,At Risk
SNN       ,S.N. Nuclearelectrica S.A.                                      ,Utilities             ,Electric Utilities                                   ,RO     ,BVB     ,0.82                    ,0.5224808673469388   ,2.666288791271078     ,1              ,0.1                 ,0.659468438538206    ,0               ,18.000000000000004,At Risk
SSW       ,Sibanye Stillwater Limited                                      ,Materials             ,Metals and Mining                                    ,ZA     ,JSE     ,0.95                    ,-1.1218014329580348  ,                      ,1              ,0.1                 ,0.012618296529968454 ,0               ,5.000000000000004 ,At Risk
ISS       ,ISS A/S                                                         ,Industrials           ,Commercial Services and Supplies                     ,DK     ,CPSE    ,0.39                    ,6.635037362116001    ,                      ,3              ,0.3                 ,0.8301886792452831   ,0               ,61.0              ,Borderline
CEMARGOS  ,Cementos Argos S.A.                                             ,Materials             ,Construction Materials                               ,CO     ,BVC     ,0.33999999999999997     ,13.484444444444444   ,0.09262117937635073   ,1              ,0.1                 ,0.049107142857142856 ,0               ,66.0              ,Monitor
MOL       ,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,Energy                ,Oil Gas and Consumable Fuels                         ,HU     ,BUSE    ,0.39                    ,2.363310574932806    ,0.7540124391437024    ,2              ,0.2                 ,0.9954337899543378   ,0               ,61.0              ,Borderline
ALKB      ,ALK-Abelló A/S                                                  ,Health Care           ,Pharmaceuticals                                      ,DK     ,CPSE    ,0.37                    ,                     ,0.0                   ,1              ,0.1                 ,                     ,0               ,63.0              ,Borderline
PETDAG    ,PETRONAS Dagangan Berhad                                        ,Consumer Discretionary,Specialty Retail                                     ,MY     ,KLSE    ,0.37                    ,1.4114142072432734   ,                      ,1              ,0.1                 ,1.2189349112426036   ,0               ,63.0              ,Borderline
AXIATA    ,Axiata Group Berhad                                             ,Communication Services,Wireless Telecommunication Services                  ,MY     ,KLSE    ,0.33999999999999997     ,2.321816432204555    ,                      ,1              ,0.1                 ,1.103542234332425    ,0               ,66.0              ,Monitor
