ticker    ,name                                                            ,sector                ,industry                                             ,country,exchange,current_streak,streak_type,continuation_probability,mean_reversion_probability,expected_next_outcome,prediction_confidence,dynamic_total_reports,historical_beat_rate,revision_momentum_score,next_earnings_status
SNPS      ,Synopsys Inc.                                                   ,Information Technology,Software                                             ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
SNOW      ,Snowflake Inc.                                                  ,Information Technology,IT Services                                          ,US     ,NYSE    ,0             ,miss       ,0.65                    ,0.35                      ,miss                 ,1.0                  ,6                    ,0.0                 ,                       ,Confirmed
MDLN      ,Medline Inc.                                                    ,Health Care           ,Health Care Equipment and Supplies                   ,US     ,NasdaqGS,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,2                    ,0.0                 ,                       ,Confirmed
L         ,Loblaw Companies Limited                                        ,Consumer Staples      ,Consumer Staples Distribution and Retail             ,CA     ,TSX     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
TKO       ,TKO Group Holdings Inc.                                         ,Communication Services,Entertainment                                        ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
EBAY      ,eBay Inc.                                                       ,Consumer Discretionary,Broadline Retail                                     ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Estimated
HLN       ,Haleon plc                                                      ,Health Care           ,Pharmaceuticals                                      ,GB     ,LSE     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
NPI       ,Northland Power Inc.                                            ,Utilities             ,Independent Power and Renewable Electricity Producers,CA     ,TSX     ,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,6                    ,0.0                 ,                       ,Confirmed
A         ,Agilent Technologies Inc.                                       ,Health Care           ,Life Sciences Tools and Services                     ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
FTAI      ,FTAI Aviation Ltd.                                              ,Industrials           ,Trading Companies and Distributors                   ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
ACAD      ,ACADIA Pharmaceuticals Inc.                                     ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
ZM        ,Zoom Communications Inc.                                        ,Information Technology,Software                                             ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
ODL       ,Odfjell Drilling Ltd.                                           ,Energy                ,Energy Equipment and Services                        ,GB     ,OB      ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
WSP       ,WSP Global Inc.                                                 ,Industrials           ,Construction and Engineering                         ,CA     ,TSX     ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
UTHR      ,United Therapeutics Corporation                                 ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
IONQ      ,IonQ Inc.                                                       ,Information Technology,Technology Hardware Storage and Peripherals          ,US     ,NYSE    ,0             ,miss       ,0.65                    ,0.35                      ,miss                 ,1.0                  ,6                    ,0.0                 ,                       ,Confirmed
PNW       ,Pinnacle West Capital Corporation                               ,Utilities             ,Electric Utilities                                   ,US     ,NYSE    ,3             ,beat       ,0.39918125              ,0.60081875                ,miss                 ,0.7                  ,6                    ,0.0                 ,                       ,Confirmed
PR        ,Permian Resources Corporation                                   ,Energy                ,Oil Gas and Consumable Fuels                         ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
UHS       ,Universal Health Services Inc.                                  ,Health Care           ,Health Care Providers and Services                   ,US     ,NYSE    ,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
STRL      ,Sterling Infrastructure Inc.                                    ,Industrials           ,Construction and Engineering                         ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
SMMT      ,Summit Therapeutics Inc.                                        ,Health Care           ,Biotechnology                                        ,US     ,NasdaqGM,0             ,miss       ,0.65                    ,0.35                      ,miss                 ,1.0                  ,6                    ,0.0                 ,                       ,Estimated
PSKY      ,Paramount Skydance Corporation                                  ,Communication Services,Media                                                ,US     ,NasdaqGS,2             ,beat       ,0.46962499999999996     ,0.530375                  ,miss                 ,0.8                  ,6                    ,0.0                 ,                       ,Confirmed
NTNX      ,Nutanix Inc.                                                    ,Information Technology,Software                                             ,US     ,NasdaqGS,5             ,beat       ,0.28840845312499996     ,0.711591546875            ,miss                 ,0.5                  ,6                    ,0.0                 ,                       ,Confirmed
