ticker    ,sector                ,region                     ,payout_score      ,fcf_coverage_score  ,div_growth_score,balance_sheet_score,streak_score,dividend_sustainability_score,sustainability_grade
UPS       ,Industrials           ,United States and Canada   ,57.9632226897304  ,16.29657089898054   ,50.0            ,38.560070671378085 ,68.0        ,44.5                         ,D
MMM       ,Industrials           ,United States and Canada   ,81.91662785281788 ,20.4507405022537    ,50.0            ,6.032085561497336  ,8.0         ,37.7                         ,D
NOC       ,Industrials           ,United States and Canada   ,82.87225386493084 ,29.04196357878068   ,50.0            ,63.53306646651655  ,92.0        ,61.3                         ,C
HWM       ,Industrials           ,United States and Canada   ,96.20567375886525 ,100.0               ,50.0            ,78.27467755525309  ,20.0        ,73.8                         ,B
BRZE      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,95.35469234174413  ,0.0         ,61.8                         ,C
CDNS      ,Information Technology,United States and Canada   ,100.0             ,50.0                ,50.0            ,84.10502019619157  ,0.0         ,60.1                         ,C
SHW       ,Materials             ,United States and Canada   ,86.37973400173202 ,62.71387955544069   ,50.0            ,0.0                ,100.0       ,62.3                         ,C
OVS       ,Consumer Discretionary,Europe                     ,50.0              ,50.0                ,50.0            ,50.0               ,8.0         ,43.7                         ,D
WM        ,Industrials           ,United States and Canada   ,77.84960871044572 ,36.89708141321045   ,50.0            ,18.20028011204481  ,92.0        ,55.2                         ,C
TT        ,Industrials           ,Europe                     ,85.85121107266436 ,61.93934947419907   ,50.0            ,81.56508472816297  ,24.0        ,62.8                         ,C
MAR       ,Consumer Discretionary,United States and Canada   ,86.91913648005854 ,43.41258741258741   ,50.0            ,100.0              ,16.0        ,60.0                         ,C
CRH       ,Materials             ,Europe                     ,86.17754425709207 ,52.83975659229208   ,50.0            ,72.04785686250625  ,8.0         ,56.8                         ,C
ENGCONB   ,Industrials           ,Europe                     ,59.24918389553863 ,22.68357810413885   ,50.0            ,90.71317169998582  ,8.0         ,45.3                         ,D
FCX       ,Materials             ,United States and Canada   ,81.35775862068965 ,37.57225433526011   ,50.0            ,89.80381835926791  ,4.0         ,53.8                         ,C
ABNB      ,Consumer Discretionary,United States and Canada   ,100.0             ,50.0                ,50.0            ,91.18079752226093  ,0.0         ,61.2                         ,C
DVA       ,Health Care           ,United States and Canada   ,100.0             ,50.0                ,50.0            ,0.0                ,0.0         ,47.5                         ,D
ABX       ,Materials             ,United States and Canada   ,87.9207297892419  ,71.61458333333333   ,50.0            ,95.36698510044424  ,4.0         ,64.8                         ,C
